time,u,v,w,p,q,r,phi_deg,theta_deg,psi_deg,airspeed,alpha_deg
1.083777958501928111e+02,1.037282200130233605e+02,2.780879775266303228e-02,-3.552912042232674761e+00,5.215175567324821515e-04,-7.228258115605222002e-05,2.461735223294163159e-03,1.671684263589774400e+00,-4.814483357846729206e+00,1.400308706638798206e+01,1.037890532974419955e+02,-1.961735313695273097e+00
1.083808437573513999e+02,1.037289670648030722e+02,2.780794960812114219e-02,-3.553049024005676682e+00,5.215648055469780491e-04,-7.175595134142925173e-05,2.461799075036727024e-03,1.671739178226216316e+00,-4.814508470847700394e+00,1.400351794063842981e+01,1.037898046003558647e+02,-1.961796771044349796e+00
1.083884635252478716e+02,1.037308342850486582e+02,2.780583558478021827e-02,-3.553391401053453080e+00,5.216828145788852305e-04,-7.043961354354778923e-05,2.461958755399630636e-03,1.671876494982579286e+00,-4.814570854431763358e+00,1.400459518695170935e+01,1.037916824465515617e+02,-1.961950375564665672e+00
1.084002492885934998e+02,1.037337212279722394e+02,2.780258357915338721e-02,-3.553920749768437304e+00,5.218650253698029840e-04,-6.840427890050111411e-05,2.462205881998893054e-03,1.672088972399445650e+00,-4.814666223199562722e+00,1.400626157257064364e+01,1.037945858196945892e+02,-1.962187851694941587e+00
1.084188006101691002e+02,1.037382625659858775e+02,2.779750862996148777e-02,-3.554753431458720581e+00,5.221510510851213715e-04,-6.520232524864667670e-05,2.462595222499026730e-03,1.672423629464955042e+00,-4.814813577968261704e+00,1.400888495903273068e+01,1.037991530065124266e+02,-1.962561380337327188e+00
1.084189877184124100e+02,1.037383083521125116e+02,2.779745771724307160e-02,-3.554761826519712287e+00,5.221539310615926511e-04,-6.517004320037615239e-05,2.462599151569596929e-03,1.672427006102787717e+00,-4.814815046997628301e+00,1.400891142107513154e+01,1.037991990532678130e+02,-1.962565146059228383e+00
1.084191748266557198e+02,1.037383541378851248e+02,2.779740680997776561e-02,-3.554770221513811279e+00,5.221568109407545089e-04,-6.513776429973607267e-05,2.462603080683869149e-03,1.672430382766423973e+00,-4.814816515683847165e+00,1.400893788316989053e+01,1.037992450996675302e+02,-1.962568911747578859e+00
1.084191841553293472e+02,1.037383564206215141e+02,2.779740427203207173e-02,-3.554770640062087761e+00,5.221569545206196285e-04,-6.513615458894007264e-05,2.462603276579239820e-03,1.672430551117742192e+00,-4.814816588899296868e+00,1.400893920249445657e+01,1.037992473953979840e+02,-1.962569099492986968e+00
1.084192774420656207e+02,1.037383792479370044e+02,2.779737889332066503e-02,-3.554774825535695015e+00,5.221583903059640866e-04,-6.512005806849739816e-05,2.462605235538921789e-03,1.672432234634449566e+00,-4.814817321006874984e+00,1.400895239574727569e+01,1.037992703526539344e+02,-1.962570976942471956e+00
1.084195106589063045e+02,1.037384363158407155e+02,2.779731545247237853e-02,-3.554785289146904059e+00,5.221619796634999981e-04,-6.507981825073143138e-05,2.462610132985652931e-03,1.672436443454277555e+00,-4.814819150902617473e+00,1.400898537893626461e+01,1.037993277454070125e+02,-1.962575670529663752e+00
1.084218428273131423e+02,1.037390069646232860e+02,2.779668150992289227e-02,-3.554889919539035326e+00,5.221978649241359625e-04,-6.467744637019370076e-05,2.462659111186568921e-03,1.672478533856866401e+00,-4.814837420538521151e+00,1.400931521530041479e+01,1.037999016425434888e+02,-1.962622603532577559e+00
1.084309057326177168e+02,1.037412240075144609e+02,2.779422602387929611e-02,-3.555296418905145472e+00,5.223371730510209922e-04,-6.311414093889708779e-05,2.462849506962154576e-03,1.672642136966701720e+00,-4.814907911065605006e+00,1.401059705063959449e+01,1.038021313062625666e+02,-1.962804937634129443e+00
1.084311586710231836e+02,1.037412858714737496e+02,2.779415767669575835e-02,-3.555307761721182569e+00,5.223410577544421304e-04,-6.307050977103586707e-05,2.462854822224071379e-03,1.672646703864915541e+00,-4.814909866854776510e+00,1.401063282739677796e+01,1.038021935224039254e+02,-1.962810025301744199e+00
1.084311847942422986e+02,1.037412922606831103e+02,2.779415061843626064e-02,-3.555308933188605192e+00,5.223414589524969431e-04,-6.306600466159548667e-05,2.462855371183412904e-03,1.672647175532159913e+00,-4.814910068810958066e+00,1.401063652238902257e+01,1.038021999479861108e+02,-1.962810550747335014e+00
1.084312109174614136e+02,1.037412986498855645e+02,2.779414356028301822e-02,-3.555310104654721748e+00,5.223418601486555946e-04,-6.306149949472196275e-05,2.462855920143605312e-03,1.672647647199905885e+00,-4.814910270760455191e+00,1.401064021738228860e+01,1.038022063735613756e+02,-1.962811076192270576e+00
1.084314721496525635e+02,1.037413625415299521e+02,2.779407298459446105e-02,-3.555321819244046999e+00,5.223458720059288504e-04,-6.301644673621471988e-05,2.462861409792297101e-03,1.672652363904964634e+00,-4.814912289887687713e+00,1.401067716737111901e+01,1.038022706289320070e+02,-1.962816330605606341e+00
1.084321252301304384e+02,1.037415222676173130e+02,2.779389659185804023e-02,-3.555351105145759583e+00,5.223559008193523348e-04,-6.290381311085423209e-05,2.462875134286033902e-03,1.672664155887131132e+00,-4.814917334780575153e+00,1.401076954278996389e+01,1.038024312643210152e+02,-1.962829466352327579e+00
1.084329415807277712e+02,1.037417219191518996e+02,2.779367619432076067e-02,-3.555387711374585979e+00,5.223684351692164680e-04,-6.276303073266583776e-05,2.462892290650481927e-03,1.672678896305789475e+00,-4.814923635020344150e+00,1.401088501296107225e+01,1.038026320524545838e+02,-1.962845885459940654e+00
1.084337434687988946e+02,1.037419180270736092e+02,2.779345980237784078e-02,-3.555423667842449120e+00,5.223807456564434062e-04,-6.262474011186025492e-05,2.462909143879821790e-03,1.672693376059057879e+00,-4.814929817287965541e+00,1.401099843842525061e+01,1.038028292768088363e+02,-1.962862013062517397e+00
